RouteID,VehicleCount,AverageSpeed,MaximumSpeed,MinimumSpeed,AverageLatitude,AverageLongitude,AverageBearing
9951710,7,0.0,0.0,0.0,53.36234828404018,-1.4665684359414237,82.28571428571429
9629934,14,0.0,0.0,0.0,51.44245856148856,0.2844061404466629,127.42857142857143
88480,1,0.0,0.0,0.0,51.01128005981445,-2.2048399448394775,123.0
17970,6,0.0,0.0,0.0,51.45570627848307,-1.0021725098292034,153.0
114099,5,0.0,0.0,0.0,51.88637237548828,0.9217838048934937,63.0
5950,6,0.0,0.0,0.0,52.04812431335449,1.1299610137939453,159.0
3330764,2,0.0,0.0,0.0,51.60257530212402,-0.5365094840526581,229.5
95549,3,0.0,0.0,0.0,53.45068486531576,-2.924896001815796,112.66666666666667
120637,1,0.0,0.0,0.0,51.391151428222656,-2.3599419593811035,-1.0
29413,4,0.0,0.0,0.0,50.76631832122803,-1.9820787608623505,199.25
8620,2,0.0,0.0,0.0,54.5214729309082,-1.5389139652252197,149.5
3906512,9,0.0,0.0,0.0,50.39680099487305,-3.909410079320272,202.66666666666666
4460944,1,0.0,0.0,0.0,53.036136627197266,-1.4795199632644653,173.0
6728,1,0.0,0.0,0.0,51.30556869506836,0.2100670039653778,194.0
92146,3,0.0,0.0,0.0,53.604470570882164,-2.1525766054789224,54.666666666666664
7965,6,0.0,0.0,0.0,53.38447062174479,-1.4879525105158489,86.33333333333333
58085,1,0.0,0.0,0.0,52.984474182128906,-0.03725099936127663,181.0
7643,4,0.0,0.0,0.0,51.17232799530029,-4.054570317268372,195.0
9915352,23,0.0,0.0,0.0,51.51666956362517,-0.34591638782750006,185.8695652173913
117966,1,0.0,0.0,0.0,55.03532028198242,-1.627769947052002,170.0
22582,1,0.0,0.0,0.0,53.867549896240234,-1.914368987083435,269.0
131158,2,0.0,0.0,0.0,54.11927604675293,-3.2215360403060913,258.0
8139,2,0.0,0.0,0.0,51.41989517211914,-2.2359015941619873,-1.0
69967,3,0.0,0.0,0.0,53.098592122395836,-3.19220232963562,98.0
86928,1,0.0,0.0,0.0,51.588401794433594,-1.426203966140747,-1.0
367682,2,0.0,0.0,0.0,52.50017166137695,-2.173232078552246,149.0
13832,14,0.0,0.0,0.0,51.55398178100586,-0.2504500022956303,160.71428571428572
4358,2,0.0,0.0,0.0,51.18782615661621,1.2588104605674744,102.0
61959,1,0.0,0.0,0.0,52.68492126464844,-2.033163070678711,39.0
17850,1,0.0,0.0,0.0,53.391143798828125,-2.5935280323028564,-1.0
8108,1,0.0,0.0,0.0,51.13295364379883,0.26341700553894043,-1.0
4684,1,0.0,0.0,0.0,52.58899688720703,-0.20937399566173553,342.0
103467,6,0.0,0.0,0.0,53.38348070780436,-1.4554588397343953,185.66666666666666
67397,6,0.0,0.0,0.0,52.363743464152016,-2.267510970433553,170.66666666666666
574245,1,0.0,0.0,0.0,52.48594665527344,-1.8995829820632935,-1.0
86066,1,0.0,0.0,0.0,54.331260681152344,-2.7301878929138184,288.0
2598309,4,0.0,0.0,0.0,51.18230438232422,-0.6270840018987656,97.5
49506,2,0.0,0.0,0.0,51.88728332519531,-2.1591129302978516,0.0
3776499,3,0.0,0.0,0.0,51.44173812866211,0.36625466744105023,185.66666666666666
117915,2,0.0,0.0,0.0,55.165761947631836,-1.6873325109481812,115.0
80902,4,0.0,0.0,0.0,51.41228199005127,0.5270132422447205,173.5
5123,10,0.0,0.0,0.0,50.84862060546875,-1.0583144128322601,158.9
59697,3,0.0,0.0,0.0,50.75080235799154,-3.359095017115275,204.0
110105,2,0.0,0.0,0.0,52.51199913024902,-2.0836340188980103,69.5
59102,4,0.0,0.0,0.0,53.02182388305664,-2.139239251613617,123.0
4683949,2,0.0,0.0,0.0,52.166208267211914,0.7774850130081177,217.5
102174,1,0.0,0.0,0.0,54.08439254760742,-0.1929669976234436,135.0
