Operator,TotalServices,UniqueServices,UniqueRoutes,TotalTrips,AverageTrips,MaximumTrips,MinimumTrips,TotalStops,AverageStops,MaximumStops,MinimumStops,PerformanceScore
Iain McGregor,1,1,1,205,205.0,205,205,2,2.0,2,2,107.6
Viking Coaches (Heywood),3,3,2,4,1.3333333333333333,2,1,123,41.0,47,29,98.5
Abus,3,2,3,36,12.0,32,2,241,80.33333333333333,111,58,151.7
WNCT LTD,13,13,13,281,21.615384615384617,71,2,498,38.30769230769231,99,10,586.8
M R D,3,3,3,16,5.333333333333333,11,2,41,13.666666666666666,16,11,93.7
Chalkwell,10,10,10,294,29.4,146,2,983,98.3,174,14,662.5
Torbay Buses,14,14,14,178,12.714285714285714,46,2,582,41.57142857142857,68,22,595.8
Ashbourne Little Bus Co,13,5,5,62,4.769230769230769,9,1,810,62.30769230769231,85,4,392.8
Isle Valley Transport,5,5,5,23,4.6,10,2,150,30.0,48,16,179.2
Hams Travel,25,22,23,225,9.0,77,1,1708,68.32,152,13,1167.4
Thames Valley Buses,65,26,34,5122,78.8,1689,2,5697,87.64615384615385,1370,7,4527.9
Regional Transport Ltd,1,1,1,10,10.0,10,10,17,17.0,17,17,34.1
The Clovelly Estate Co,1,1,1,2,2.0,2,2,3,3.0,3,3,26.7
Vision Bus,18,5,6,373,20.72222222222222,59,1,1414,78.55555555555556,142,20,713.4
Grant Palmer,2,1,1,2,1.0,1,1,272,136.0,136,136,107.4
Taylors Travel,15,14,15,31,2.066666666666667,4,1,561,37.4,127,5,545.7
Travel Masters,27,27,24,105,3.888888888888889,46,1,2154,79.77777777777777,115,14,1318.2
St Ives Bus Co,2,2,2,68,34.0,38,30,11,5.5,8,3,80.5
Telford Coaches,7,5,5,40,5.714285714285714,12,2,438,62.57142857142857,78,21,272.4
