Operator,TotalServices,UniqueServices,UniqueRoutes,TotalTrips,AverageTrips,MaximumTrips,MinimumTrips,TotalStops,AverageStops,MaximumStops,MinimumStops,PerformanceScore
Seaford and District Motor Services Ltd,2,2,2,4,2.0,2,2,89,44.5,61,28,78.3
JW Lodge & Sons,1,1,1,6,6.0,6,6,55,55.0,55,55,43.9
Yeomans Travel,96,27,43,515,5.364583333333333,37,1,3978,41.4375,117,8,2314.4
Kevendy's Travel,2,2,2,4,2.0,2,2,48,24.0,36,12,66.0
Taw & Torridge Coaches Ltd,11,11,11,57,5.181818181818182,24,2,429,39.0,74,14,426.5
Holmeswood Coaches Ltd,3,2,2,165,55.0,55,55,453,151.0,199,121,251.9
Roberts Travel Group,3,3,3,300,100.0,108,96,29,9.666666666666666,11,8,203.7
M&R Travel,2,2,2,4,2.0,2,2,30,15.0,17,13,60.6
Red Rose Travel,156,44,55,1662,10.653846153846153,93,1,11176,71.64102564102564,242,11,5282.6
Ipswich Buses,32,32,32,2581,80.65625,347,2,1939,60.59375,154,21,2414.1
Sharpes of Nottingham,11,11,11,29,2.6363636363636362,3,2,348,31.636363636363637,92,12,391.0
Pilkingtonbus,23,22,22,226,9.826086956521738,47,2,1168,50.78260869565217,91,10,990.8
