Operator,TotalServices,TotalTrips,AverageTrips,TotalStops,AverageStops,UniqueRoutes,UniqueServiceCodes
Faversham,2,12,6.0,101,50.5,2,2
Nick Maddy Coaches,22,70,3.1818181818181817,824,37.45454545454545,15,14
Station Coaches,6,60,10.0,227,37.833333333333336,4,4
Frome Bus,38,361,9.5,1393,36.6578947368421,36,21
Wilfreda Beehive,17,42,2.4705882352941178,466,27.41176470588235,17,17
Rambler Coaches,8,16,2.0,1015,126.875,6,6
James Bevan,2,4,2.0,50,25.0,2,2
Steve Keats of Sheffield,3,6,2.0,314,104.66666666666667,3,3
Jim Hughes Coaches,87,184,2.1149425287356323,2930,33.67816091954023,83,82
Hawkes Coaches,6,41,6.833333333333333,51,8.5,3,2
trentbarton,39,10069,258.1794871794872,4826,123.74358974358974,34,34
Axe Valley Mini Travel,13,112,8.615384615384615,471,36.23076923076923,12,11
Carlone Buses,11,234,21.272727272727273,771,70.0909090909091,8,7
Western Dales Bus,9,40,4.444444444444445,388,43.111111111111114,5,5
E Stott & Sons Ltd,38,212,5.578947368421052,2159,56.81578947368421,16,10
Thandi Red,3,6,2.0,51,17.0,3,3
Stevenson's Travel,2,9,4.5,76,38.0,2,1
Whippet Coaches,43,1020,23.72093023255814,3902,90.74418604651163,9,7
Somerset County Council,31,374,12.064516129032258,1102,35.54838709677419,30,31
Safeway Coaches Ltd,2,6,3.0,90,45.0,2,2
Horseman Coaches,6,36,6.0,213,35.5,6,5
Abellio London Ltd,11,3007,273.3636363636364,959,87.18181818181819,6,7
CT4N Ltd,31,388,12.516129032258064,2767,89.25806451612904,21,19
A B Coaches Ltd,6,12,2.0,330,55.0,6,6
Liberty Coaches,7,98,14.0,365,52.142857142857146,3,3
Red Rose Travel,156,1662,10.653846153846153,11176,71.64102564102564,55,44
M&R Travel,2,4,2.0,30,15.0,2,2
Pauls Travel,1,4,4.0,59,59.0,1,1
Kirkby Lonsdale Coaches,32,432,13.5,1429,44.65625,16,15
Centrebus Group,916,14567,15.902838427947598,79409,86.6910480349345,210,196
Belle Vue,7,89,12.714285714285714,1010,144.28571428571428,3,3
WNCT LTD,13,281,21.615384615384617,498,38.30769230769231,13,13
Go-Ahead Group plc,3301,177187,53.67676461678279,298634,90.46773704937898,716,978
Libra Travel,7,64,9.142857142857142,506,72.28571428571429,6,6
Ambassador  Semmence,11,48,4.363636363636363,669,60.81818181818182,8,8
Lucketts Travel,3,72,24.0,81,27.0,3,3
OWNC,2,8,4.0,36,18.0,2,2
Torbay Buses,14,178,12.714285714285714,582,41.57142857142857,14,14
Gem Travel,1,2,2.0,26,26.0,1,1
Coatham Coaches,3,10,3.3333333333333335,136,45.333333333333336,2,3
GO-Coach Hire Ltd,72,483,6.708333333333333,4551,63.208333333333336,39,35
Grant Palmer,2,2,1.0,272,136.0,1,1
Delaine Buses Ltd,60,489,8.15,5086,84.76666666666667,11,7
Shires Passenger Transport,3,30,10.0,330,110.0,3,3
Royal Buses,13,1689,129.92307692307693,125,9.615384615384615,4,3
Coachstyle,6,110,18.333333333333332,522,87.0,5,6
Redline Buses,47,981,20.872340425531913,3017,64.19148936170212,21,13
Bear Buses,4,8,2.0,25,6.25,4,4
Glen Valley Tours,14,82,5.857142857142857,700,50.0,5,5
Solus Coaches,5,69,13.8,73,14.6,5,5
Beestons,10,41,4.1,193,19.3,6,6
Catteralls,7,14,2.0,134,19.142857142857142,7,7
Felix Taxis & Co.,3,32,10.666666666666666,144,48.0,3,3
Aintree Coaches,5,36,7.2,223,44.6,5,4
TLC Travel Ltd,105,1453,13.838095238095239,7364,70.13333333333334,42,42
Discover Dorset,1,32,32.0,93,93.0,1,1
Landflight,2,42,21.0,216,108.0,1,1
Tyrers Coaches,7,103,14.714285714285714,532,76.0,3,3
TM Travel,29,1650,56.89655172413793,2779,95.82758620689656,22,22
HADLOW RURAL COMMUNITY SCHOOL LIMITED,1,3,3.0,56,56.0,1,1
Peoples Bus,3,3,1.0,79,26.333333333333332,2,3
N.N. Cresswell,1,13,13.0,28,28.0,1,1
Starline,2,6,3.0,98,49.0,1,1
KP CABS Cornwall,3,131,43.666666666666664,39,13.0,1,1
South West Coaches,18,369,20.5,992,55.111111111111114,15,10
TK Travel,3,15,5.0,13,4.333333333333333,3,3
Littles Travel,9,48,5.333333333333333,704,78.22222222222223,6,5
West Oxfordshire Community Transport,11,85,7.7272727272727275,294,26.727272727272727,10,10
Travel Cornwall,1,2,2.0,92,92.0,1,1
A & M Group - Flexibus,35,175,5.0,1248,35.65714285714286,34,31
Sharpes of Nottingham,11,29,2.6363636363636362,348,31.636363636363637,11,11
Pilkingtonbus,23,226,9.826086956521738,1168,50.78260869565217,22,22
Bland's (Rutland) Ltd,42,115,2.738095238095238,1376,32.76190476190476,19,19
Sheffield Community Transport,2,42,21.0,40,20.0,1,1
Coastal & Country Coaches,7,50,7.142857142857143,112,16.0,2,2
Bus Link,26,245,9.423076923076923,1070,41.15384615384615,26,18
Hedge the Distance,1,2,2.0,14,14.0,1,1
Hollinshead Coaches,1,20,20.0,12,12.0,1,1
